nodehm.txt
#node,power,mgt,cons,termserver,termport,conserver,serialport,serialspeed,serialflow,getmac,cmdmapping,consoleondemand,consoleenabled,comments,disable
"n126","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n127","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n128","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n129","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n130","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n131","impi","ipmi",,,,,,,,,,,,,
"n132",,"ipmi",,,,,,,,,,,,,
"n133",,"ipmi",,,,,,,,,,,,,
"gpu-a100-07",,"ipmi",,,,,,,,,,,,,
"gpu-a100-06",,"ipmi",,,,,,,,,,,,,
"gpu-a100-05",,"ipmi",,,,,,,,,,,,,
"gpu-a100-04",,"ipmi",,,,,,,,,,,,,
"gpu-a100-03",,"ipmi",,,,,,,,,,,,,
"gpu-a100-01",,"ipmi",,,,,,,,,,,,,
"gpu-a100-02",,"ipmi",,,,,,,,,,,,,
"n099","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n096","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n100","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n102","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n101","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n097","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n098","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n095","impi","ipmi",,,,,"0","115200",,,,,"1",,
"n003",,"ipmi",,,,,"0","115200",,,,,"1",,
"n001",,"ipmi",,,,,"0","115200",,,,,"1",,
"n009",,"ipmi",,,,,"0","115200",,,,,"1",,
"n007",,"ipmi",,,,,"0","115200",,,,,"1",,
"n006",,"ipmi",,,,,"0","115200",,,,,"1",,
"n011",,"ipmi",,,,,"0","115200",,,,,"1",,
"n012",,"ipmi",,,,,"0","115200",,,,,"1",,
"n010",,"ipmi",,,,,"0","115200",,,,,"1",,
"v003","impi","ipmi",,,,,"0","115200",,,,,"1",,
"login2",,"ipmi",,,,,"0","115200",,,,,"1",,
"login1",,"ipmi",,,,,"0","115200",,,,,"1",,
"dm01",,"ipmi",,,,,,,,,,,,,
"cn1",,"ipmi",,,,,"0","115200",,,,,"1",,
"g009",,"ipmi",,,,,"0","115200",,,,,"1",,
