noderes.txt
#node,servicenode,netboot,tftpserver,tftpdir,nfsserver,monserver,nfsdir,installnic,primarynic,discoverynics,cmdinterface,xcatmaster,current_osimage,next_osimage,nimserver,routenames,nameservers,proxydhcp,syslog,comments,disable
"n126",,"xnba",,,,,,"d4:04:e6:06:04:ac",,,,"hpcxcat",,,,,,,,,
"n127",,"xnba",,,,,,"d4:04:e6:06:52:3a",,,,"hpcxcat",,,,,,,,,
"n128",,"xnba",,,,,,"d4:04:e6:07:06:28",,,,"hpcxcat",,,,,,,,,
"n129",,"xnba",,,,,,"d4:04:e6:06:17:cc",,,,"hpcxcat",,,,,,,,,
"n130",,"xnba",,,,,,"d4:04:e6:05:e3:34",,,,"hpcxcat",,,,,,,,,
"n131",,"xnba",,,,,,"d4:04:e6:06:12:98",,,,,,,,,,,,,
"n132",,"xnba",,,,,,"mac",,,,,,,,,,,,,
"n133",,"xnba",,,,,,"mac",,,,,,,,,,,,,
"gpu-a100-07",,"xnba",,,,,,,,,,,,,,,,,,,
"gpu-a100-06",,"xnba",,,,,,,,,,,,,,,,,,,
"gpu-a100-05",,"xnba",,,,,,,,,,,,,,,,,,,
"gpu-a100-04",,"xnba",,,,,,,,,,,,,,,,,,,
"gpu-a100-03",,"xnba",,,,,,,,,,,,,,,,,,,
"gpu-a100-01",,"xnba",,,,,,,,,,,,,,,,,,,
"gpu-a100-02",,"xnba",,,,,,,,,,,,,,,,,,,
"n097",,"xnba",,,,,,"mac",,,,,,,,,,,,,
"n102",,"xnba",,,,,,"mac",,,,,,,,,,,,,
"n101",,"xnba",,,,,,"mac",,,,,,,,,,,,,
"n096",,"xnba",,,,,,"mac",,,,,,,,,,,,,
"n100",,"xnba",,,,,,"mac",,,,,,,,,,,,,
"n095",,"xnba",,,,,,"mac",,,,,,,,,,,,,
"n098",,"xnba",,,,,,"mac",,,,,,,,,,,,,
"n099",,"xnba",,,,,,"mac",,,,,,,,,,,,,
"n012",,"xnba",,,,,,,,,,,,,,,,,,,
"n011",,"xnba",,,,,,,,,,,,,,,,,,,
"n010",,"xnba",,,,,,,,,,,,,,,,,,,
"n007",,"xnba",,,,,,,,,,,,,,,,,,,
"n006",,"xnba",,,,,,,,,,,,,,,,,,,
"n009",,"xnba",,,,,,,,,,,,,,,,,,,
"n003",,"xnba",,,,,,,,,,,,,,,,,,,
"n001",,"xnba",,,,,,,,,,,,,,,,,,,
"v003",,"xnba",,,,,,,,,,,,,,,,,,,
"login2",,"xnba",,,,,,"mac",,,,,,,,"net422",,,,,
"login1",,"xnba",,,,,,,,,,,,,,"net422",,,,,
"dm01",,"xnba",,,,,,,,,,,,,,,,,,,
"g009",,"xnba",,,,,,"eno1",,,,,,,,,,,,,
