nodetype.txt
#node,os,arch,profile,provmethod,supportedarchs,nodetype,comments,disable
"n126","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n127","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-compute","x86,x86_64",,,
"n128","alma9.7","x86_64","compute","alma9.7-x86_64-netbootIB-compute","x86,x86_64",,,
"n129","alma9.7","x86_64","compute","alma9.7-x86_64-netbootIB-compute","x86,x86_64",,,
"n130","alma9.7","x86_64","compute","alma9.7-x86_64-netbootIB-compute","x86,x86_64",,,
"n131","alma9.7","x86_64","compute","alma9.7-x86_64-netbootIB-compute",,,,
"n132","alma9.7","x86_64","compute","alma9.7-x86_64-netbootIB-compute","x86,x86_64",,,
"n133","alma9.7","x86_64","compute","alma9.7-x86_64-netbootIB-compute","x86,x86_64",,,
"gpu-a100-07","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-cudaruntime","x86,x86_64",,,
"gpu-a100-06","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-cudaruntime","x86,x86_64",,,
"gpu-a100-05","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-cudaruntime","x86,x86_64",,,
"gpu-a100-02","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-cudaruntime","x86,x86_64",,,
"gpu-a100-01","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-cudaruntime","x86,x86_64",,,
"gpu-a100-03","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-cudaruntime","x86,x86_64",,,
"gpu-a100-04","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-cudaruntime","x86,x86_64",,,
"n095","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n098",,"x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n097",,"x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n100",,"x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n096",,"x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n102",,"x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n101",,"x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n099",,"x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n006","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n007","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n010",,,,"alma9.5-x86_64-netboot-compute",,,,
"n011","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n012","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-compute",,,,
"n001","alma9.7","x86_64","compute","alma9.7-x86_64-netbootIB-compute","x86,x86_64",,,
"n003","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-compute","x86,x86_64",,,
"n009",,,,"alma9.5-x86_64-netboot-compute",,,,
"v003","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-desktop","x86,x86_64",,,
"login2","alma9.5","x86_64","compute","alma9.5-x86_64-install-compute",,,,
"login1","alma9.5","x86_64","compute","alma9.5-x86_64-install-compute",,,,
"dm01","alma9.5","x86_64","compute","alma9.5-x86_64-install-compute",,,,
"g009","alma9.5","x86_64","compute","alma9.5-x86_64-netboot-cudaruntime",,,,
